Time_ms,V_Gate_V,V_Drain_V
3.684531071997014,3.5816522,7.043937
3.6846310719970137,3.5816472,7.0439873
3.7101810719969723,3.5806084,7.0542974
3.735731071996932,3.5800679,7.0594935
3.7358310719969317,3.5800667,7.0595036
3.7613810719968903,3.5800405,7.059431
3.78693107199685,3.5805273,7.0541143
3.7870310719968496,3.5805302,7.0540833
3.8125810719968083,3.5815194,7.0436344
3.838131071996768,3.5829835,7.02834
3.8382310719967676,3.58299,7.0282707
3.8637810719967263,3.5848932,7.0084977
3.889331071996686,3.5871844,6.9847674
3.8894310719966856,3.587194,6.9846673
3.914981071996719,3.5898156,6.957568
3.940531071996752,3.592699,6.9278054
3.9406310719967523,3.5927107,6.927685
3.9661810719968225,3.595782,6.8960104
3.991731071996892,3.5989616,6.863245
3.9918310719968924,3.598974,6.863116
4.001581071996919,3.6001987,6.8505
4.0113310719969455,3.6014228,6.8378954
4.027131071996989,3.6033928,6.817615
4.042931071997032,3.6053295,6.7976885
4.043031071997032,3.6053414,6.7975636
4.0685810719971025,3.608353,6.7665987
4.094131071997172,3.6111493,6.7378774
4.094231071997172,3.6111598,6.73777
4.1197810719972425,3.6136677,6.7120523
4.145331071997312,3.6158242,6.6899953
4.145431071997312,3.6158319,6.689917
4.1709810719973825,3.6175792,6.6721144
4.196531071997452,3.6188743,6.6590137
4.1966310719974524,3.6188784,6.6589723
4.222181071997523,3.6196856,6.6509376
4.247731071997592,3.6199865,6.648158
4.2478310719975925,3.6199868,6.6481576
4.273381071997663,3.6197712,6.650729
4.298931071997732,3.6190472,6.6585603
4.2990310719977325,3.6190434,6.658601
4.324581071997803,3.6178272,6.671509
4.350131071997872,3.6161523,6.6891336
4.3502310719978725,3.616145,6.6892114
4.375781071997943,3.6140528,6.7111106
4.401331071998012,3.611599,6.7366934
4.4014310719980125,3.6115887,6.7368
4.426981071998083,3.6088352,6.7654138
4.452531071998152,3.6058545,6.796301
4.452631071998153,3.6058424,6.796425
4.473281071998208,3.603319,6.8225083
4.493931071998266,3.6007392,6.849112
4.503831071998293,3.5994954,6.8619204
4.529381071998363,3.5963058,6.8947034
4.554931071998432,3.593211,6.926428
4.555031071998433,3.593199,6.9265485
4.580581071998503,3.5902793,6.956392
4.606131071998572,3.5876093,6.9836
4.606231071998573,3.5875993,6.9837003
4.631781071998643,3.585249,7.0075645
4.657331071998712,3.5832777,7.0274935
4.657431071998713,3.5832708,7.027563
4.682981071998783,3.581731,7.0430307
4.708531071998852,3.5806606,7.0536656
4.708631071998853,3.5806575,7.053697
4.734181071998923,3.5800862,7.059208
4.759731071998992,3.5800266,7.059477
4.759831071998993,3.5800273,7.059468
4.785381071999063,3.5804834,7.054466
4.810931071999132,3.5814407,7.0443416
4.811031071999133,3.5814455,7.0442924
4.836581071999203,3.582882,7.0292807
4.862131071999272,3.5847578,7.009783
4.862231071999273,3.5847661,7.0096984
4.887781071999343,3.5870354,6.9861913
4.913331071999412,3.5896378,6.9592896
4.913431071999413,3.5896485,6.9591784
4.938981071999483,3.592518,6.929556
4.964531071999552,3.5955796,6.8979807
4.964631071999553,3.5955918,6.8978543
4.9818810719996,3.5977283,6.875836
4.999131071999647,3.599891,6.8535542
4.999931071999649,3.5999916,6.8525186
5.0,3.6000001,6.8524294
